,episode,episode_reward,step,seed,env
0,0.0,0.0,0,23451,hopper_stand
1,10.0,1.7458853715827871,10000,23451,hopper_stand
2,20.0,11.95134228536215,20000,23451,hopper_stand
3,30.0,7.650606482179262,30000,23451,hopper_stand
4,40.0,12.841514296514948,40000,23451,hopper_stand
5,50.0,24.79823991352313,50000,23451,hopper_stand
6,60.0,32.25532484266124,60000,23451,hopper_stand
7,70.0,181.31168358755005,70000,23451,hopper_stand
8,80.0,269.7481596500207,80000,23451,hopper_stand
9,90.0,389.14423683865374,90000,23451,hopper_stand
10,100.0,437.53959295217834,100000,23451,hopper_stand
11,110.0,771.2444187158894,110000,23451,hopper_stand
12,120.0,739.9068482922667,120000,23451,hopper_stand
13,130.0,611.579598760729,130000,23451,hopper_stand
14,140.0,830.5048066143801,140000,23451,hopper_stand
15,150.0,743.7112484317363,150000,23451,hopper_stand
16,160.0,843.8979491828903,160000,23451,hopper_stand
17,170.0,846.9224369136482,170000,23451,hopper_stand
18,180.0,791.7938755724168,180000,23451,hopper_stand
19,190.0,783.8623665426924,190000,23451,hopper_stand
20,200.0,877.543076712657,200000,23451,hopper_stand
21,210.0,846.6366704477548,210000,23451,hopper_stand
22,220.0,774.621959652389,220000,23451,hopper_stand
23,230.0,879.9531755266977,230000,23451,hopper_stand
24,240.0,874.3536456075238,240000,23451,hopper_stand
25,250.0,890.3410819672496,250000,23451,hopper_stand
26,260.0,880.6786641732393,260000,23451,hopper_stand
27,270.0,883.0391312267906,270000,23451,hopper_stand
28,280.0,875.9461188747206,280000,23451,hopper_stand
29,290.0,875.0316540570159,290000,23451,hopper_stand
30,300.0,903.9761045825916,300000,23451,hopper_stand
31,310.0,722.6951487550615,310000,23451,hopper_stand
32,320.0,587.4468626378933,320000,23451,hopper_stand
33,330.0,898.4891013839012,330000,23451,hopper_stand
34,340.0,894.4762833184919,340000,23451,hopper_stand
35,350.0,891.8268781920202,350000,23451,hopper_stand
36,360.0,924.0773711522304,360000,23451,hopper_stand
37,370.0,929.625376866914,370000,23451,hopper_stand
38,380.0,870.0358037801068,380000,23451,hopper_stand
39,390.0,922.9600999376263,390000,23451,hopper_stand
40,400.0,902.0909503996394,400000,23451,hopper_stand
41,410.0,885.8351962773143,410000,23451,hopper_stand
42,420.0,913.9447332897372,420000,23451,hopper_stand
43,430.0,913.87689427021,430000,23451,hopper_stand
44,440.0,904.7231592497368,440000,23451,hopper_stand
45,450.0,901.4162242242984,450000,23451,hopper_stand
46,460.0,915.0914942452547,460000,23451,hopper_stand
47,470.0,845.2345225205584,470000,23451,hopper_stand
48,480.0,877.4649911673681,480000,23451,hopper_stand
49,490.0,927.849721922828,490000,23451,hopper_stand
50,500.0,910.4688426018434,500000,23451,hopper_stand
0,0.0,1.7991663408023186,0,34512,hopper_stand
1,10.0,0.7952728959901953,10000,34512,hopper_stand
